id,keywords
19404.0,[]
278.0,"[{'id': 378, 'name': 'prison'}, {'id': 417, 'name': 'corruption'}, {'id': 796, 'name': 'police brutality'}, {'id': 2885, 'name': 'prison cell'}, {'id': 4779, 'name': 'delinquent'}, {'id': 8622, 'name': 'parole board'}, {'id': 9777, 'name': 'prison escape'}, {'id': 12662, 'name': 'wrongful imprisonment'}, {'id': 180172, 'name': 'framed for murder'}, {'id': 207883, 'name': '1940s'}]"
238.0,"[{'id': 131, 'name': 'italy'}, {'id': 697, 'name': 'loss of loved one'}, {'id': 699, 'name': 'love at first sight'}, {'id': 700, 'name': 'italian american'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1295, 'name': 'europe'}, {'id': 1715, 'name': 'symbolism'}, {'id': 3149, 'name': 'gangster'}, {'id': 4677, 'name': 'patriarch'}, {'id': 9748, 'name': 'revenge'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10391, 'name': 'mafia'}, {'id': 10909, 'name': 'lawyer'}, {'id': 33421, 'name': 'crime family'}, {'id': 165725, 'name': 'rise to power'}, {'id': 166462, 'name': 'mob boss'}, {'id': 207883, 'name': '1940s'}, {'id': 208611, 'name': '1950s'}]"
724089.0,"[{'id': 818, 'name': 'based on novel or book'}]"
424.0,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 1382, 'name': 'factory'}, {'id': 1631, 'name': 'concentration camp'}, {'id': 1701, 'name': 'hero'}, {'id': 1739, 'name': 'holocaust (shoah)'}, {'id': 1799, 'name': 'ss (nazi schutzstaffel)'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2394, 'name': 'ghetto'}, {'id': 2433, 'name': 'jew persecution'}, {'id': 2446, 'name': 'krakow'}, {'id': 2450, 'name': 'auschwitz-birkenau concentration camp'}, {'id': 2456, 'name': 'industrialist'}, {'id': 2652, 'name': 'nazi'}, {'id': 3599, 'name': 'defense industry'}, {'id': 5565, 'name': 'biography'}, {'id': 9672, 'name': 'based on a true story'}, {'id': 12995, 'name': 'historical fiction'}, {'id': 13008, 'name': 'train'}, {'id': 21747, 'name': 'poland'}, {'id': 234812, 'name': 'weapons manufacturer'}]"
696374.0,[]
240.0,"[{'id': 131, 'name': 'italy'}, {'id': 700, 'name': 'italian american'}, {'id': 701, 'name': 'cuba'}, {'id': 1715, 'name': 'symbolism'}, {'id': 3149, 'name': 'gangster'}, {'id': 4232, 'name': 'melancholy'}, {'id': 6049, 'name': 'praise'}, {'id': 9748, 'name': 'revenge'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10391, 'name': 'mafia'}, {'id': 10909, 'name': 'lawyer'}, {'id': 14632, 'name': 'suburb'}, {'id': 156024, 'name': 'corrupt politician'}]"
761053.0,[]
372058.0,"[{'id': 4379, 'name': 'time travel'}, {'id': 6152, 'name': 'supernatural'}, {'id': 6155, 'name': 'afterlife'}, {'id': 9840, 'name': 'romance'}, {'id': 10873, 'name': 'school'}, {'id': 33721, 'name': 'body-swap'}, {'id': 165086, 'name': 'star crossed lovers'}, {'id': 210024, 'name': 'anime'}]"
283566.0,"[{'id': 1576, 'name': 'technology'}, {'id': 4565, 'name': 'dystopia'}, {'id': 10046, 'name': 'mecha'}, {'id': 14643, 'name': 'battle'}, {'id': 207473, 'name': 'cyber & mecha'}, {'id': 210024, 'name': 'anime'}, {'id': 226774, 'name': 'father son conflict'}, {'id': 262215, 'name': 'humanity under attack'}, {'id': 272793, 'name': 'post apocalypse'}]"
